=== Laser Scan Values ===
  [   0]  angle=-179.9999 deg  range=7.0136 m
  [   1]  angle=-179.4992 deg  range=6.9504 m
  [   2]  angle=-178.9985 deg  range=6.8888 m
  [   3]  angle=-178.4978 deg  range=6.8289 m
  [   4]  angle=-177.9971 deg  range=6.7705 m
  [   5]  angle=-177.4964 deg  range=6.7136 m
  [   6]  angle=-176.9957 deg  range=6.6581 m
  [   7]  angle=-176.4950 deg  range=6.6041 m
  [   8]  angle=-175.9943 deg  range=6.5514 m
  [   9]  angle=-175.4936 deg  range=6.5000 m
  [  10]  angle=-174.9929 deg  range=6.4500 m
  [  11]  angle=-174.4922 deg  range=6.4012 m
  [  12]  angle=-173.9915 deg  range=6.3536 m
  [  13]  angle=-173.4908 deg  range=6.3072 m
  [  14]  angle=-172.9901 deg  range=6.2619 m
  [  15]  angle=-172.4894 deg  range=6.2177 m
  [  16]  angle=-171.9887 deg  range=6.1747 m
  [  17]  angle=-171.4880 deg  range=6.1327 m
  [  18]  angle=-170.9873 deg  range=6.0917 m
  [  19]  angle=-170.4867 deg  range=6.0517 m
  [  20]  angle=-169.9860 deg  range=6.0127 m
  [  21]  angle=-169.4853 deg  range=5.9747 m
  [  22]  angle=-168.9846 deg  range=5.9376 m
  [  23]  angle=-168.4839 deg  range=5.9014 m
  [  24]  angle=-167.9832 deg  range=5.8660 m
  [  25]  angle=-167.4825 deg  range=5.8316 m
  [  26]  angle=-166.9818 deg  range=5.7979 m
  [  27]  angle=-166.4811 deg  range=5.7651 m
  [  28]  angle=-165.9804 deg  range=5.7332 m
  [  29]  angle=-165.4797 deg  range=5.7020 m
  [  30]  angle=-164.9790 deg  range=5.6715 m
  [  31]  angle=-164.4783 deg  range=5.6418 m
  [  32]  angle=-163.9776 deg  range=5.6129 m
  [  33]  angle=-163.4769 deg  range=5.5846 m
  [  34]  angle=-162.9762 deg  range=5.5571 m
  [  35]  angle=-162.4755 deg  range=5.5303 m
  [  36]  angle=-161.9748 deg  range=5.5041 m
  [  37]  angle=-161.4741 deg  range=5.4786 m
  [  38]  angle=-160.9734 deg  range=5.4538 m
  [  39]  angle=-160.4728 deg  range=5.4296 m
  [  40]  angle=-159.9721 deg  range=5.4060 m
  [  41]  angle=-159.4714 deg  range=5.3830 m
  [  42]  angle=-158.9707 deg  range=5.3607 m
  [  43]  angle=-158.4700 deg  range=5.3389 m
  [  44]  angle=-157.9693 deg  range=5.3177 m
  [  45]  angle=-157.4686 deg  range=5.2971 m
  [  46]  angle=-156.9679 deg  range=5.2770 m
  [  47]  angle=-156.4672 deg  range=5.2575 m
  [  48]  angle=-155.9665 deg  range=5.2385 m
  [  49]  angle=-155.4658 deg  range=5.2201 m
  [  50]  angle=-154.9651 deg  range=5.2022 m
  [  51]  angle=-154.4644 deg  range=5.1848 m
  [  52]  angle=-153.9637 deg  range=5.1679 m
  [  53]  angle=-153.4630 deg  range=5.1515 m
  [  54]  angle=-152.9623 deg  range=5.1356 m
  [  55]  angle=-152.4616 deg  range=5.1202 m
  [  56]  angle=-151.9609 deg  range=5.1053 m
  [  57]  angle=-151.4602 deg  range=5.0908 m
  [  58]  angle=-150.9595 deg  range=5.0768 m
  [  59]  angle=-150.4589 deg  range=5.0633 m
  [  60]  angle=-149.9582 deg  range=5.0503 m
  [  61]  angle=-149.4575 deg  range=5.0377 m
  [  62]  angle=-148.9568 deg  range=5.0255 m
  [  63]  angle=-148.4561 deg  range=5.0138 m
  [  64]  angle=-147.9554 deg  range=5.0025 m
  [  65]  angle=-147.4547 deg  range=4.9916 m
  [  66]  angle=-146.9540 deg  range=4.9812 m
  [  67]  angle=-146.4533 deg  range=4.9712 m
  [  68]  angle=-145.9526 deg  range=4.9616 m
  [  69]  angle=-145.4519 deg  range=4.9524 m
  [  70]  angle=-144.9512 deg  range=4.9437 m
  [  71]  angle=-144.4505 deg  range=inf m
  [  72]  angle=-143.9498 deg  range=inf m
  [  73]  angle=-143.4491 deg  range=inf m
  [  74]  angle=-142.9484 deg  range=inf m
  [  75]  angle=-142.4477 deg  range=inf m
  [  76]  angle=-141.9470 deg  range=inf m
  [  77]  angle=-141.4463 deg  range=inf m
  [  78]  angle=-140.9456 deg  range=inf m
  [  79]  angle=-140.4450 deg  range=inf m
  [  80]  angle=-139.9443 deg  range=inf m
